,Table,Field,English,Spanish,English Tooltips,Spanish Tooltips,English Placeholders,Spanish Placeholders
317,Control PNC Specialties,Correlativo_lote,Correlativo Lote,Correlativo Lote,,,,
318,Control PNC Specialties,Fecha_inicio_descarga,Fecha Inicio Descarga,Fecha Inicio Descarga,,,,
319,Control PNC Specialties,Fecha_fin_descarga,Fecha Fin Descarga,Fecha Fin Descarga,,,,
320,Control PNC Specialties,Recibido,Recibido,Recibido,,,,
321,Control PNC Specialties,Faltante,Faltante,Faltante,,,,
322,Control PNC Specialties,Sobrante,Sobrante,Sobrante,,,,
323,Control PNC Specialties,Precio_compra,Precio Compra,Precio Compra,,,,
324,Control PNC Specialties,Plazo,Plazo,Plazo,,,,
325,Control PNC Specialties,Broker,Broker,Broker,,,,
326,Control PNC Specialties,Region,Region,Region,,,,
327,Control PNC Specialties,Vende,Vende,Vende,,,,
328,Control PNC Specialties,Volumen_compra,Volumen Compra,Volumen Compra,,,,
329,Control PNC Specialties,Id_precio,Id Precio,Id Precio,,,,
330,Control PNC Specialties,Fecha_emision_OC,Fecha Emision OC,Fecha Emision OC,,,,
331,Control PNC Specialties,OC_firma,OC recepci�n FO,OC recepción FO,,,,
332,Control PNC Specialties,OC_enviada,OC envi�o FO,OC envío FO,,,,
333,Control PNC Specialties,OC_recibida,OC firma Proveedor,OC firma Proveedor,,,,
334,Control PNC Specialties,Dias_OC,Dias OC,Dias OC,,,,
335,Control PNC Specialties,Empresa_logistica,Empresa Logistica,Empresa Logistica,,,,
336,Control PNC Specialties,Marca_nombre_comercial,Marca Nombre Comercial,Marca Nombre Comercial,,,,
337,Control PNC Specialties,Tiempo_entrega,Tiempo Entrega,Tiempo Entrega,,,,
338,Control PNC Specialties,Tiempo_transito,Tiempo Transito,Tiempo Transito,,,,
339,Control PNC Specialties,Termino_compra,Termino Compra,Termino Compra,,,,
340,Control PNC Specialties,Precio_referencia,Precio Compra,Precio Compra,,,,
341,Control PNC Specialties,Valor_total_referencia,Valor Total Compra,Valor Total Compra,,,,
342,Control PNC Specialties,Facturado,Facturado,Facturado,,,,
343,Control PNC Specialties,Observaciones,Observaciones,Observaciones,,,,
344,Control PNC Specialties,Dias_disponibilidad_planta,Dias Disponibilidad Planta,Dias Disponibilidad Planta,,,,
345,Control PNC Specialties,Dias_despacho_planta,Dias Despacho Planta,Dias Despacho Planta,,,,
346,Control PNC Specialties,Facturador_final,Facturador Final,Facturador Final,,,,
347,Control PNC Specialties,Fecha_pago,Fecha Pago,Fecha Pago,,,,
348,Control PNC Specialties,Categoria,Categoria,Categoria,,,,
349,Control PNC Specialties,No_factura_sourcing,No Factura Sourcing,No Factura Sourcing,,,,
350,Control PNC Specialties,Docto_digital_recibido,Docto Digital Recibido,Docto Digital Recibido,,,,
351,Control PNC Specialties,Docto_original_recibido,Docto Original Recibido,Docto Original Recibido,,,,
352,Control PNC Specialties,Cantidad_facturada,Cantidad Facturada,Cantidad Facturada,,,,
353,Control PNC Specialties,Proveedor,Proveedor,Proveedor,,,,
354,Control PNC Specialties,No_factura,No Factura,No Factura,,,,
355,Control PNC Specialties,Incoterm,Incoterm,Incoterm,,,,
356,Control PNC Specialties,Fecha_recepcion_lista_empaque,Fecha Recepcion Lista Empaque,Fecha Recepcion Lista Empaque,,,,
357,Control PNC Specialties,Fecha_respuesta_planificacion,Fecha Respuesta Planificacion,Fecha Respuesta Planificacion,,,,
358,Control PNC Specialties,Incoterm_compra,Incoterm Compra,Incoterm Compra,,,,
359,Control PNC Specialties,Gestores,Gestores,Gestores,,,,
360,Control PNC Specialties,Notifica_embarque,Notifica Embarque,Notifica Embarque,,,,
361,Control PNC Specialties,Confirma_compra,Confirma Compra,Confirma Compra,,,,
362,Control PNC Specialties,Id_estado,Estado,Estado,,,,
363,Control PNC Specialties,id_presentacion_final,Presentacion Final,Presentacion Final,,,,
364,Control PNC Specialties,Solicitud_facturacion_FO,Solicitud Facturacion FO,Solicitud Facturacion FO,,,,
365,Control PNC Specialties,Facturacion_FO,Facturacion FO,Facturacion FO,,,,
366,Control PNC Specialties,Proforma_proveedor,Proforma Proveedor,Proforma Proveedor,,,,
367,Control PNC Specialties,flete_compra,Flete Compra,Flete Compra,,,,
368,Toma pedido PNC Graneles,,Take Order,Toma Pedido,,,,
369,Toma pedido PNC Graneles,Id_detalle_pedido,Order Detail ID,Id Detalle Pedido,,,,
370,Toma pedido PNC Graneles,PEDIDO,Order,PEDIDO,,,,
371,Toma pedido PNC Graneles,Producto,Product,Producto,,,,
372,Toma pedido PNC Graneles,Cantidad,Volume,Tonelaje,,,,
373,Toma pedido PNC Graneles,Presentacion,Presentation,Presentacion,,,,
374,Toma pedido PNC Graneles,Observaciones,Observations,Observaciones,,,,
375,Toma pedido PNC Graneles,Registro,Registro,Registro,,,,
376,Toma pedido PNC Graneles,Unidad,Unit of Measurement,Unidad,,,,
377,Toma pedido PNC Graneles,Puerto_descarga,Discharge Port,Puerto de descarga,,,,
378,Toma pedido PNC Graneles,Pais_descarga,Discharge Country,Pais de descarga,,,,
379,Toma pedido PNC Graneles,Producto_abreviado,Abbreviated product,Producto abreviado,,,,
380,Toma pedido PNC Graneles,Material_SAP,Material SAP,Material SAP,,,,
381,Toma pedido PNC Graneles,No_oc_cliente,No. orden compra sourcing,No. orden compra sourcing,,,,
382,Toma pedido PNC Graneles,Id_tipo_prod,Product Type,Tipo Producto,,,,
383,Toma pedido PNC Graneles,Unidades,Unidades,Unidades,,,,
384,Toma pedido PNC Graneles,Categoria,Categoria,Categoria,,,,
385,Toma pedido PNC Graneles,Laycan,Laycan,Ventana de carga,,,,
386,Toma pedido PNC Graneles,Validacion_quilubrisa,Validacion Quilubrisa,Validacion Quilubrisa,,,,
387,Toma pedido PNC Graneles,id_presentacion_final,Packing Type,Presentacion Interna,,,,
388,Toma pedido PNC Graneles,No_embarque,No Embarque,No Embarque,,,,
389,Toma pedido PNC Graneles,validacion_compra,Validacion Compra,Validacion Compra,,,,
390,Toma pedido PNC Specialties,,Toma Pedido,Toma Pedido,,,,
391,Toma pedido PNC Specialties,Id_detalle_pedido,Id Detalle Pedido,Id Detalle Pedido,,,,
392,Toma pedido PNC Specialties,PEDIDO,PEDIDO,PEDIDO,,,,
393,Toma pedido PNC Specialties,Producto,Producto,Producto,,,,
394,Toma pedido PNC Specialties,Cantidad,Volumen,Volumen,,,,
395,Toma pedido PNC Specialties,Presentacion,Presentacion,Presentacion,,,,
396,Toma pedido PNC Specialties,Observaciones,Observaciones,Observaciones,,,,
397,Toma pedido PNC Specialties,Registro,Registro,Registro,,,,
398,Toma pedido PNC Specialties,Unidad,Unidad,Unidad,,,,
399,Toma pedido PNC Specialties,Puerto_descarga,Puerto de descarga,Puerto de descarga,,,,
400,Toma pedido PNC Specialties,Pais_descarga,Pais de descarga,Pais de descarga,,,,
401,Toma pedido PNC Specialties,Producto_abreviado,Producto Abreviado,Producto Abreviado,,,,
402,Toma pedido PNC Specialties,Material_SAP,Material SAP,Material SAP,,,,
403,Toma pedido PNC Specialties,No_oc_cliente,No. OC Sourcing,No. OC Sourcing,,,,
404,Toma pedido PNC Specialties,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,
405,Toma pedido PNC Specialties,Unidades,Unidades,Unidades,,,,
406,Toma pedido PNC Specialties,Categoria,Categoria,Categoria,,,,
407,Toma pedido PNC Specialties,Laycan,Laycan,Laycan,,,,
408,Toma pedido PNC Specialties,Validacion_quilubrisa,Validacion Quilubrisa,Validacion Quilubrisa,,,,
409,Toma pedido PNC Specialties,id_presentacion_final,Presentacion Final,Presentacion Final,,,,
410,Toma pedido PNC Specialties,No_embarque,No. de Embarque,No. de Embarque,,,,
411,Toma pedido PNC Specialties,id_tipo_transporte,Tipo de Transporte,Tipo de Transporte,,,,
412,tipo_prod,,Tipo Prod,Tipo Prod,,,,
413,tipo_prod,Id_tipo_prod,Id Tipo Prod,Id Tipo Prod,,,,
414,tipo_prod,Descripcion,Descripcion,Descripcion,,,,
415,empresa,,Empresa,Empresa,,,,
416,empresa,Id_empresa,Id Empresa,Id Empresa,,,,
417,empresa,Nombre,Nombre,Nombre,,,,
418,empresa,UN,UN,UN,,,,
419,empresa,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,
420,empresa,Id_pais,Pais,Pais,,,,
421,lst_categoria,,Lst Categoria,Lst Categoria,,,,
422,lst_categoria,Id_categoria,Id Categoria,Id Categoria,,,,
423,lst_categoria,Id_producto,Id Producto,Id Producto,,,,
424,lst_categoria,Descripcion,Descripcion,Descripcion,,,,
425,estado,,Estado,Estado,,,,
426,estado,Id_estado,Id Estado,Id Estado,,,,
427,estado,Descripcion,Descripcion,Descripcion,,,,
428,estado,Id_nivel,Nivel,Nivel,,,,
429,estado,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,
430,lst_graneles_producto_abrevia,,Lst Abbreviated product,Lst Graneles Producto Abrevia,,,,
431,lst_graneles_producto_abrevia,Id_abreviatura,Id Abreviation,Id Abreviatura,,,,
432,lst_graneles_producto_abrevia,Descripcion,Description,Descripcion,,,,
433,lst_graneles_producto_abrevia,Id_producto,Product ID,Id Producto,,,,
434,lst_graneles_producto_abrevia,Id_tipo_prod,Product Type ID,Id Tipo Prod,,,,
435,unidad_prod,,Unidad Prod,Unidad Prod,,,,
436,unidad_prod,Id_unidad,Id Unidad,Id Unidad,,,,
437,unidad_prod,Descripcion,Descripcion,Descripcion,,,,
438,unidad_prod,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,
439,pais,,Pais,Pais,,,,
440,pais,Id_pais,Id Pais,Id Pais,,,,
441,pais,Nombre,Nombre,Nombre,,,,
442,pais,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,
443,pais,Id_tipo_pais,Tipo Pais,Tipo Pais,,,,
444,destino,,Destino,Destino,,,,
445,destino,Id_destino,Id Destino,Id Destino,,,,
446,destino,Descripcion,Descripcion,Descripcion,,,,
447,destino,Id_tipo_destino,Tipo Destino,Tipo Destino,,,,
448,destino,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,
449,destino,Id_pais,Pais,Pais,,,,
450,destino,id_region,Region,Region,,,,
451,destino,id_oceano,Oceano,Oceano,,,,
452,incoterm,,Incoterm,Incoterm,,,,
453,incoterm,Id_incoterm,Id Incoterm,Id Incoterm,,,,
454,incoterm,Descripcion,Descripcion,Descripcion,,,,
455,incoterm,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,
456,responsable,,Responsable,Responsable,,,,
457,responsable,Id_responsable,Id Responsable,Id Responsable,,,,
458,responsable,Usuario,Usuario,Usuario,,,,
459,responsable,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,
460,plazo,,Plazo,Plazo,,,,
461,plazo,Id_plazo,Id Plazo,Id Plazo,,,,
462,plazo,Descripcion,Descripcion,Descripcion,,,,
463,plazo,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,
464,business_partner,,Business Partner,Business Partner,,,,
465,business_partner,Id_bussines_partner,Id Bussines Partner,Id Bussines Partner,,,,
466,business_partner,Id_tipo_bp,Tipo Business Partner,Tipo Business Partner,,,,
467,business_partner,Nombre,Nombre,Nombre,,,,
468,business_partner,Direccion,Direccion,Direccion,,,,
469,business_partner,Contacto,Contacto,Contacto,,,,
470,business_partner,Email,Email,Email,,,,
471,business_partner,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,
472,region,,Region,Region,,,,
473,region,Id_region,Id Region,Id Region,,,,
474,region,Descripcion,Descripcion,Descripcion,,,,
475,region,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,
476,categoria_prod,,Categoria Prod,Categoria Prod,,,,
477,categoria_prod,Id_categoria,Id Categoria,Id Categoria,,,,
478,categoria_prod,Descripcion,Descripcion,Descripcion,,,,
479,categoria_prod,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,
480,Busqueda Graneles,,Search Graneles,Busqueda Graneles,,,,
481,Busqueda Graneles,year(c.Fecha_BL),Year(c.BL Date),Year(c.Fecha BL),,,,
482,Busqueda Graneles,Fecha_BL,BL Date,Fecha BL,,,,
483,Busqueda Graneles,Mes_carga,Loading month,Mes Carga,,,,
484,Busqueda Graneles,Estado,Status,Estado,,,,
485,Busqueda Graneles,Buque,Vessel,Buque,,,,
486,Busqueda Graneles,Producto,Producto,Producto,,,,
487,Busqueda Graneles,Producto_abreviado,Abbreviated product,Producto Abreviado,,,,
488,Busqueda Graneles,Tonelaje,Volume,Tonelaje,,,,
489,Busqueda Graneles,Unidad,Unit of Measurement,Unidad,,,,
490,Busqueda Graneles,Flete,Freight,Flete,,,,
491,Busqueda Graneles,Precio_Venta_TM,Sales Price /MT,Precio Venta TM,,,,
492,Busqueda Graneles,Valor_Total_Venta,Total Sales price,Valor Total Venta,,,,
493,Busqueda Graneles,Puerto_carga,Loading Port,Puerto Carga,,,,
494,Busqueda Graneles,Pais_carga,Loading Country,Pais Carga,,,,
495,Busqueda Graneles,Puerto_descarga,Puerto Descarga,Puerto Descarga,,,,
496,Busqueda Graneles,Pais_descarga,Loading Country,Pais Descarga,,,,
497,Busqueda Graneles,Consignatario,Consignee,Consignatario,,,,
498,Busqueda Graneles,Responsable,Responsible,Responsable,,,,
499,Busqueda Graneles,Laycan,Laycan,Laycan,,,,
500,Busqueda Graneles,Eta_puerto_carga,ETA Loading Port,Eta Puerto Carga,,,,
501,Busqueda Graneles,Fecha_zarpe_estimada,Fecha Zarpe Estimada,Fecha Zarpe Estimada,,,,
502,Busqueda Graneles,Plazo_venta,Plazo Venta,Plazo Venta,,,,
503,Busqueda Graneles,Eta_puerto_descarga,ETA Discharge Port,Eta Puerto Descarga,,,,
504,Busqueda Graneles,Etb_puerto_descarga,ETB Discharge Port,Etb Puerto Descarga,,,,
505,Busqueda Graneles,Incoterm_venta,Sales Incoterm,Incoterm Venta,,,,
506,Busqueda Graneles,PEDIDO,Order,PEDIDO,,,,
507,Busqueda Graneles,Id_detalle_pedido,Order Detail ID,Id Detalle Pedido,,,,
508,Busqueda Graneles,Id_tipo_prod,Product Type ID,Id Tipo Prod,,,,
509,Busqueda Specialties,,Busqueda Specialties,Busqueda Specialties,,,,
510,Busqueda Specialties,Responsable,Responsable,Responsable,,,,
511,Busqueda Specialties,No_OC_Cliente,No Oc Cliente,No Oc Cliente,,,,
512,Busqueda Specialties,Material_SAP,Material SAP,Material SAP,,,,
513,Busqueda Specialties,No_embarque,No Embarque,No Embarque,,,,
514,Busqueda Specialties,No_OC_Sourcing,No OC Sourcing,No OC Sourcing,,,,
515,Busqueda Specialties,Producto,Producto,Producto,,,,
516,Busqueda Specialties,Volumen,Volumen,Volumen,,,,
517,Busqueda Specialties,Unidad,Unidad,Unidad,,,,
518,Busqueda Specialties,Cantidad_contenedores,Cantidad Contenedores,Cantidad Contenedores,,,,
519,Busqueda Specialties,Presentacion,Presentacion,Presentacion,,,,
520,Busqueda Specialties,Origen,Origen,Origen,,,,
521,Busqueda Specialties,Puerto_carga,Puerto Carga,Puerto Carga,,,,
522,Busqueda Specialties,Pais_carga,Pais Carga,Pais Carga,,,,
523,Busqueda Specialties,Puerto_destino,Puerto Destino,Puerto Destino,,,,
524,Busqueda Specialties,Pais_destino,Pais Destino,Pais Destino,,,,
525,Busqueda Specialties,Consignatario,Consignatario,Consignatario,,,,
526,Busqueda Specialties,Observaciones_Pedido,Observaciones Pedido,Observaciones Pedido,,,,
527,Busqueda Specialties,Docto_digital_enviado,Docto Digital Enviado,Docto Digital Enviado,,,,
528,Busqueda Specialties,Docto_original_enviado,Docto Original Enviado,Docto Original Enviado,,,,
529,Busqueda Specialties,Fecha_ofrecida_despacho_de,Fecha Ofrecida Despacho De,Fecha Ofrecida Despacho De,,,,
530,Busqueda Specialties,Fecha_ofrecida_despacho_a,Fecha Ofrecida Despacho A,Fecha Ofrecida Despacho A,,,,
531,Busqueda Specialties,Fecha_zarpe,Fecha Zarpe,Fecha Zarpe,,,,
532,Busqueda Specialties,Estado_zarpe,Estado Zarpe,Estado Zarpe,,,,
533,Busqueda Specialties,Fecha_arribo,Fecha Arribo,Fecha Arribo,,,,
534,Busqueda Specialties,Estado_arribo,Estado Arribo,Estado Arribo,,,,
535,Busqueda Specialties,Observaciones_Seguimiento,Observaciones Seguimiento,Observaciones Seguimiento,,,,
536,Busqueda Specialties,No_factura_trading,No Factura Trading,No Factura Trading,,,,
537,Busqueda Specialties,Incoterm_venta,Incoterm Venta,Incoterm Venta,,,,
538,Busqueda Specialties,Valor_unitario_venta,Valor Unitario Venta,Valor Unitario Venta,,,,
539,Busqueda Specialties,Valor_total_venta,Valor Total Venta,Valor Total Venta,,,,
540,Busqueda Specialties,Termino_venta,Termino Venta,Termino Venta,,,,
541,Busqueda Specialties,PEDIDO,PEDIDO,PEDIDO,,,,
542,Busqueda Specialties,Id_detalle_pedido,Id Detalle Pedido,Id Detalle Pedido,,,,
543,Busqueda Specialties,Id_tipo_prod,Id Tipo Prod,Id Tipo Prod,,,,
544,Operaciones PNC Graneles,,Operations PNC Graneles,Operaciones PNC Graneles,,,,
545,Operaciones PNC Graneles,Ano,Loading Year,Año carga,,,,
546,Operaciones PNC Graneles,Correlativo,Batch,Correlativo,,,,
547,Operaciones PNC Graneles,Fecha_BL,BL Date,Fecha BL,,,,
548,Operaciones PNC Graneles,Mes_carga,Loading Month,Mes Carga,,,,
549,Operaciones PNC Graneles,Estado,Status,Estado,,,,
550,Operaciones PNC Graneles,Buque,Vessel,Buque,,,,
551,Operaciones PNC Graneles,Producto,Product,Producto,,,,
552,Operaciones PNC Graneles,Producto_abreviado,Abbreviated product,Producto Abreviado,,,,
553,Operaciones PNC Graneles,Tonelaje,Volume,Tonelaje,,,,
554,Operaciones PNC Graneles,Unidad,Unit of Measurement,Unidad,,,,
555,Operaciones PNC Graneles,Fecha_inicio_descarga,Initial Discharge Date,Fecha Inicio Descarga,,,,
556,Operaciones PNC Graneles,Fecha_fin_descarga,Final Discharge Date,Fecha Fin Descarga,,,,
557,Operaciones PNC Graneles,Recibido,Received,Recibido,,,,
558,Operaciones PNC Graneles,Faltante,Shortage,Faltante,,,,
559,Operaciones PNC Graneles,Sobrante,Surplus,Sobrante,,,,
560,Operaciones PNC Graneles,Precio_compra,Purchase Price,Precio Compra,,,,
561,Operaciones PNC Graneles,Incoterm,Sales Incoterm,Incoterm,,,,
562,Operaciones PNC Graneles,Plazo,Term of Purchase,Plazo,,,,
563,Operaciones PNC Graneles,Cantidad_facturada,Invoice Amount,Cantidad Facturada,,,,
564,Operaciones PNC Graneles,Flete,Freight,Flete,,,,
565,Operaciones PNC Graneles,Precio_Venta_TM,Sales Price /MT,Precio Venta TM,,,,
566,Operaciones PNC Graneles,Valor_Total_Venta,Total Sales price,Valor Total Venta,,,,
567,Operaciones PNC Graneles,No_factura,Invoice No.,No Factura,,,,
568,Operaciones PNC Graneles,Broker,Broker,Broker,,,,
569,Operaciones PNC Graneles,Puerto_carga,Loading Port,Puerto Carga,,,,
570,Operaciones PNC Graneles,Pais_carga,Loading Country,Pais Carga,,,,
571,Operaciones PNC Graneles,Puerto_descarga,Discharge Port,Puerto Descarga,,,,
572,Operaciones PNC Graneles,Pais_descarga,Discharge Country,Pais Descarga,,,,
573,Operaciones PNC Graneles,Region,Region,Region,,,,
574,Operaciones PNC Graneles,Consignatario,Consignee,Consignatario,,,,
575,Operaciones PNC Graneles,Cliente,Final Client,Cliente Final,,,,
576,Operaciones PNC Graneles,Trading,Trading,Trading,,,,
577,Operaciones PNC Graneles,Proveedor,Supplier,Proveedor,,,,
578,Operaciones PNC Graneles,Responsable,Responsible,Responsable,,,,
579,Operaciones PNC Graneles,Volumen_compra,Purchase Volume,Volumen Compra,,,,
580,Operaciones PNC Graneles,Laycan,Laycan,Laycan,,,,
581,Operaciones PNC Graneles,Eta_puerto_carga,ETA Loading Port,Eta Puerto Carga,,,,
582,Operaciones PNC Graneles,Fecha_zarpe_estimada,ETD,Fecha Zarpe Estimada,,,,
583,Operaciones PNC Graneles,Plazo_venta,Term of Sale,Plazo Venta,,,,
584,Operaciones PNC Graneles,Proforma_enviada,Proforma Sent,Proforma Enviada,,,,
585,Operaciones PNC Graneles,Eta_puerto_descarga,ETA Discharge Port,Eta Puerto Descarga,,,,
586,Operaciones PNC Graneles,Etb_puerto_descarga,ETB Discharge Port,Etb Puerto Descarga,,,,
587,Operaciones PNC Graneles,Fecha_de_Solicitud,Request Date,Fecha De Solicitud,,,,
588,Operaciones PNC Graneles,Grupo_Articulo,Article groups,Grupo Articulo,,,,
589,Operaciones PNC Graneles,Origen,Origin,Origen,,,,
590,Operaciones PNC Especialidades,,Operaciones PNC Especialidades,Operaciones PNC Especialidades,,,,
591,Operaciones PNC Especialidades,Estado,Estado,Estado,,,,
592,Operaciones PNC Especialidades,Responsable,Responsable,Responsable,,,,
593,Operaciones PNC Especialidades,No_OC_Sourcing,No OC Sourcing,No OC Sourcing,,,,
594,Operaciones PNC Especialidades,Lote,Lote,Lote,,,,
595,Operaciones PNC Especialidades,Material_SAP,Material SAP,Material SAP,,,,
596,Operaciones PNC Especialidades,No_Cotizacion,No Cotizacion,No Cotizacion,,,,
597,Operaciones PNC Especialidades,No_embarque,No Embarque,No Embarque,,,,
598,Operaciones PNC Especialidades,No_OC_Cliente,No Oc Cliente,No Oc Cliente,,,,
599,Operaciones PNC Especialidades,Fecha_emision_OC,Fecha Emision OC,Fecha Emision OC,,,,
600,Operaciones PNC Especialidades,Categoria,Categoria,Categoria,,,,
601,Operaciones PNC Especialidades,Producto,Producto,Producto,,,,
602,Operaciones PNC Especialidades,Marca_nombre_comercial,Marca Nombre Comercial,Marca Nombre Comercial,,,,
603,Operaciones PNC Especialidades,Volumen,Volumen,Volumen,,,,
604,Operaciones PNC Especialidades,Unidad,Unidad,Unidad,,,,
605,Operaciones PNC Especialidades,Cantidad_contenedores,Cantidad Contenedores,Cantidad Contenedores,,,,
606,Operaciones PNC Especialidades,Presentacion,Presentacion,Presentacion,,,,
607,Operaciones PNC Especialidades,Presentacion_Final,Presentacion Final,Presentacion Final,,,,
608,Operaciones PNC Especialidades,Proveedor,Proveedor,Proveedor,,,,
609,Operaciones PNC Especialidades,Origen,Origen,Origen,,,,
610,Operaciones PNC Especialidades,Puerto_carga,Puerto Carga,Puerto Carga,,,,
611,Operaciones PNC Especialidades,Pais_carga,Pais Carga,Pais Carga,,,,
612,Operaciones PNC Especialidades,Puerto_destino,Puerto Destino,Puerto Destino,,,,
613,Operaciones PNC Especialidades,Pais_destino,Pais Destino,Pais Destino,,,,
614,Operaciones PNC Especialidades,Consignatario,Consignatario,Consignatario,,,,
615,Operaciones PNC Especialidades,Cliente,Cliente Final,Cliente Final,,,,
616,Operaciones PNC Especialidades,Termino_compra,Termino Compra,Termino Compra,,,,
617,Operaciones PNC Especialidades,Incoterm_compra,Incoterm Compra,Incoterm Compra,,,,
618,Operaciones PNC Especialidades,Precio_referencia,Precio Compra,Precio Compra,,,,
619,Operaciones PNC Especialidades,Valor_total_Compra,Valor Total Compra,Valor Total Compra,,,,
620,Operaciones PNC Especialidades,Observaciones_Pedido,Observaciones Pedido,Observaciones Pedido,,,,
621,Operaciones PNC Especialidades,OC_recepcion_FO,OC Recepcion FO,OC Recepcion FO,,,,
622,Operaciones PNC Especialidades,OC_envio_FO,OC Envio FO,OC Envio FO,,,,
623,Operaciones PNC Especialidades,OC_firma_Proveedor,OC Firma Proveedor,OC Firma Proveedor,,,,
624,Operaciones PNC Especialidades,Dias_OC,Dias OC,Dias OC,,,,
625,Operaciones PNC Especialidades,Docto_Digital_enviado,Docto Digital Enviado,Docto Digital Enviado,,,,
626,Operaciones PNC Especialidades,Docto_Original_enviado,Docto Original Enviado,Docto Original Enviado,,,,
627,Operaciones PNC Especialidades,Empresa_Logistica,Empresa Logistica,Empresa Logistica,,,,
628,Operaciones PNC Especialidades,Fecha_ofrecida_despacho_de,Fecha Ofrecida Despacho De,Fecha Ofrecida Despacho De,,,,
629,Operaciones PNC Especialidades,Fecha_ofrecida_despacho_a,Fecha Ofrecida Despacho A,Fecha Ofrecida Despacho A,,,,
630,Operaciones PNC Especialidades,Fecha_zarpe,Fecha Zarpe,Fecha Zarpe,,,,
631,Operaciones PNC Especialidades,Estado_zarpe,Estado Zarpe,Estado Zarpe,,,,
632,Operaciones PNC Especialidades,Fecha_arribo,Fecha Arribo,Fecha Arribo,,,,
633,Operaciones PNC Especialidades,Estado_arribo,Estado Arribo,Estado Arribo,,,,
634,Operaciones PNC Especialidades,Observaciones_Seguimiento,Observaciones Seguimiento,Observaciones Seguimiento,,,,
635,Operaciones PNC Especialidades,Solicitud_facturacion_FO,Solicitud Facturacion FO,Solicitud Facturacion FO,,,,
636,Operaciones PNC Especialidades,Facturacion_FO,Facturacion FO,Facturacion FO,,,,
637,Operaciones PNC Especialidades,No_factura_sourcing,No Factura Sourcing,No Factura Sourcing,,,,
638,Operaciones PNC Especialidades,Facturador_final,Facturador Final,Facturador Final,,,,
639,Operaciones PNC Especialidades,No_factura_trading,No Factura Trading,No Factura Trading,,,,
640,Operaciones PNC Especialidades,Incoterm_venta,Incoterm Venta,Incoterm Venta,,,,
641,Operaciones PNC Especialidades,Valor_unitario_venta,Valor Unitario Venta,Valor Unitario Venta,,,,
642,Operaciones PNC Especialidades,Valor_total_venta,Valor Total Venta,Valor Total Venta,,,,
643,Operaciones PNC Especialidades,termino_venta,Termino Venta,Termino Venta,,,,
644,Operaciones PNC Especialidades,Observaciones_Control,Observaciones Control,Observaciones Control,,,,
645,Operaciones PNC Especialidades,Flete,Flete de Compra,Flete de Compra,,,,
646,Operaciones PNC Especialidades,TiempoE,Tiempo Entrega,Tiempo Entrega,,,,
647,Operaciones PNC Especialidades,TiempoT,Tiempo Transito,Tiempo Transito,,,,
648,Operaciones PNC Especialidades,Grupo_Articulo,Grupo Articulo,Grupo Articulo,,,,
649,Cliente PNC Especialidades,,Cliente PNC Especialidades,Cliente PNC Especialidades,,,,
650,Cliente PNC Especialidades,Responsable,Responsable,Responsable,,,,
651,Cliente PNC Especialidades,No_OC_Cliente,No OC Cliente,No OC Cliente,,,,
652,Cliente PNC Especialidades,Material_SAP,Material SAP,Material SAP,,,,
653,Cliente PNC Especialidades,No_embarque,No Embarque,No Embarque,,,,
654,Cliente PNC Especialidades,No_OC_Sourcing,No OC Sourcing,No OC Sourcing,,,,
655,Cliente PNC Especialidades,Producto,Producto,Producto,,,,
656,Cliente PNC Especialidades,Volumen,Volumen,Volumen,,,,
657,Cliente PNC Especialidades,Unidad,Unidad,Unidad,,,,
658,Cliente PNC Especialidades,Cantidad_contenedores,Cantidad Contenedores,Cantidad Contenedores,,,,
659,Cliente PNC Especialidades,Presentacion,Presentacion,Presentacion,,,,
660,Cliente PNC Especialidades,Origen,Origen,Origen,,,,
661,Cliente PNC Especialidades,Puerto_carga,Puerto Carga,Puerto Carga,,,,
662,Cliente PNC Especialidades,Pais_carga,Pais Carga,Pais Carga,,,,
663,Cliente PNC Especialidades,Puerto_destino,Puerto Destino,Puerto Destino,,,,
664,Cliente PNC Especialidades,Pais_destino,Pais Destino,Pais Destino,,,,
665,Cliente PNC Especialidades,Consignatario,Consignatario,Consignatario,,,,
666,Cliente PNC Especialidades,Cliente,Cliente Final,Cliente Final,,,,
667,Cliente PNC Especialidades,Proveedor,Proveedor,Proveedor,,,,
668,Cliente PNC Especialidades,EmpresaL,Empresa Logistica,Empresa Logistica,,,,
669,Cliente PNC Especialidades,Observaciones_Pedido,Observaciones Pedido,Observaciones Pedido,,,,
670,Cliente PNC Especialidades,Docto_digital_fecha,Docto Digital Fecha,Docto Digital Fecha,,,,
671,Cliente PNC Especialidades,Docto_original_fecha,Docto Original Fecha,Docto Original Fecha,,,,
