,Unnamed: 0,Table,Field,English,Spanish,English Tooltips,Spanish Tooltips,English Placeholders,Spanish Placeholders,traduccion
256,256,Seguimiento PNC Specialties,termino_venta,Termino Venta,Termino Venta,,,,,Sale term
257,257,Seguimiento PNC Specialties,necesita_proforma,Necesita Proforma,Necesita Proforma,,,,,You need Proforma
258,258,Seguimiento PNC Specialties,cumple_digitales,Cumple Digitales,Cumple Digitales,,,,,Meets Digital
259,259,Seguimiento PNC Specialties,cumple_fisico,Cumple Fisico,Cumple Fisico,,,,,Meets Physical
260,260,Control PNC Graneles,,Order control,Control Pedido,,,,,Order control
261,261,Control PNC Graneles,PEDIDO,Order,PEDIDO,,,,,Order
262,262,Control PNC Graneles,Id_detalle_pedido,Order Detail ID,Id Detalle Pedido,,,,,Order Detail ID
263,263,Control PNC Graneles,Id_tipo_prod,Product Type,Tipo Producto,,,,,Product Type
264,264,Control PNC Graneles,Correlativo_lote,Batch,Correlativo Lote,,,,,Batch
265,265,Control PNC Graneles,Fecha_inicio_descarga,Initial Discharge Date,Fecha Inicio Descarga,,,,,Initial Discharge Date
266,266,Control PNC Graneles,Fecha_fin_descarga,Final Discharge Date,Fecha Fin Descarga,,,,,Final Discharge Date
267,267,Control PNC Graneles,Recibido,Received,Recibido,,,,,Received
268,268,Control PNC Graneles,Faltante,Shortage,Faltante,,,,,Shortage
269,269,Control PNC Graneles,Sobrante,Surplus,Sobrante,,,,,Surplus
270,270,Control PNC Graneles,Precio_compra,Purchase Price,Precio Compra,,,,,Purchase Price
271,271,Control PNC Graneles,Plazo,Term of Purchase,Plazo,,,,,Term of Purchase
272,272,Control PNC Graneles,Broker,Broker,Broker,,,,,Broker
273,273,Control PNC Graneles,Region,Region,Region,,,,,Region
274,274,Control PNC Graneles,Vende,Trading,Trading,,,,,Trading
275,275,Control PNC Graneles,Volumen_compra,Valor Total de Compra,Valor Total de Compra,,,,,Total Purchase Value
276,276,Control PNC Graneles,Id_precio,Id Precio,Id Precio,,,,,Id Price
277,277,Control PNC Graneles,Fecha_emision_OC,Fecha Emision OC,Fecha Emision OC,,,,,OC Issue Date
278,278,Control PNC Graneles,OC_firma,OC Firma,OC Firma,,,,,OC Signature
279,279,Control PNC Graneles,OC_enviada,OC Enviada,OC Enviada,,,,,OC Sent
280,280,Control PNC Graneles,OC_recibida,OC Recibida,OC Recibida,,,,,OC Received
281,281,Control PNC Graneles,Dias_OC,Dias OC,Dias OC,,,,,OC days
282,282,Control PNC Graneles,Empresa_logistica,Empresa Logistica,Empresa Logistica,,,,,Logistics Company
283,283,Control PNC Graneles,Marca_nombre_comercial,Marca Nombre Comercial,Marca Nombre Comercial,,,,,Brand Commercial Name
284,284,Control PNC Graneles,Tiempo_entrega,Tiempo Entrega,Tiempo Entrega,,,,,Delivery time
285,285,Control PNC Graneles,Tiempo_transito,Tiempo Transito,Tiempo Transito,,,,,Transit Time
286,286,Control PNC Graneles,Termino_compra,Termino Compra,Termino Compra,,,,,Purchase Term
287,287,Control PNC Graneles,Precio_referencia,Precio Referencia,Precio Referencia,,,,,Reference Price
288,288,Control PNC Graneles,Valor_total_referencia,Valor Total Referencia,Valor Total Referencia,,,,,Total Value Reference
289,289,Control PNC Graneles,Facturado,Facturado,Facturado,,,,,Invoiced
290,290,Control PNC Graneles,Observaciones,Observaciones,Observaciones,,,,,Observations
291,291,Control PNC Graneles,Dias_disponibilidad_planta,Dias Disponibilidad Planta,Dias Disponibilidad Planta,,,,,Days Availability Plant
292,292,Control PNC Graneles,Dias_despacho_planta,Dias Despacho Planta,Dias Despacho Planta,,,,,Days Plant Dispatch
293,293,Control PNC Graneles,Facturador_final,Facturador Final,Facturador Final,,,,,Final Billing
294,294,Control PNC Graneles,Fecha_pago,Fecha Pago,Fecha Pago,,,,,Pay day
295,295,Control PNC Graneles,Categoria,Categoria,Categoria,,,,,Category
296,296,Control PNC Graneles,No_factura_sourcing,No Factura Sourcing,No Factura Sourcing,,,,,No invoice Sourcing
297,297,Control PNC Graneles,Docto_digital_recibido,Docto Digital Recibido,Docto Digital Recibido,,,,,Digital Docto Received
298,298,Control PNC Graneles,Docto_original_recibido,Docto Original Recibido,Docto Original Recibido,,,,,Original Docto Received
299,299,Control PNC Graneles,Cantidad_facturada,Invoice Amount,Cantidad Facturada,,,,,Invoice Amount
300,300,Control PNC Graneles,Proveedor,Supplier,Proveedor,,,,,Supplier
301,301,Control PNC Graneles,No_factura,Invoice No.,No Factura,,,,,Invoice No.
302,302,Control PNC Graneles,Incoterm,Purchase Incoterm,Incoterm Compra,,,,,Purchase Incoterm
303,303,Control PNC Graneles,Fecha_recepcion_lista_empaque,Fecha Recepcion Lista Empaque,Fecha Recepcion Lista Empaque,,,,,Date Receipt Packing List
304,304,Control PNC Graneles,Fecha_respuesta_planificacion,Fecha Respuesta Planificacion,Fecha Respuesta Planificacion,,,,,Date Response Planning
305,305,Control PNC Graneles,Incoterm_compra,Incoterm Compra,Incoterm Compra,,,,,Incoterm Buy
306,306,Control PNC Graneles,Gestores,Gestores,Gestores,,,,,Managers
307,307,Control PNC Graneles,Notifica_embarque,Notifica Embarque,Notifica Embarque,,,,,Notify Boarding
308,308,Control PNC Graneles,Confirma_compra,Confirma Compra,Confirma Compra,,,,,Confirm Purchase
309,309,Control PNC Graneles,Id_estado,Status,Id Estado,,,,,Status
310,310,Control PNC Graneles,id_presentacion_final,Id Presentacion Final,Id Presentacion Final,,,,,Final Presentation Id
311,311,Control PNC Graneles,Solicitud_facturacion_FO,Solicitud Facturacion FO,Solicitud Facturacion FO,,,,,FO Billing Request
312,312,Control PNC Graneles,Facturacion_FO,Facturacion FO,Facturacion FO,,,,,FO billing
313,313,Control PNC Specialties,,Control Pedido,Control Pedido,,,,,Order Control
314,314,Control PNC Specialties,PEDIDO,PEDIDO,PEDIDO,,,,,ORDER
315,315,Control PNC Specialties,Id_detalle_pedido,Id Detalle Pedido,Id Detalle Pedido,,,,,Id Order Detail
316,316,Control PNC Specialties,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,,Product Type
317,317,Control PNC Specialties,Correlativo_lote,Correlativo Lote,Correlativo Lote,,,,,Correlative Lot
318,318,Control PNC Specialties,Fecha_inicio_descarga,Fecha Inicio Descarga,Fecha Inicio Descarga,,,,,Start Date Download
319,319,Control PNC Specialties,Fecha_fin_descarga,Fecha Fin Descarga,Fecha Fin Descarga,,,,,End Date Download
320,320,Control PNC Specialties,Recibido,Recibido,Recibido,,,,,Received
321,321,Control PNC Specialties,Faltante,Faltante,Faltante,,,,,Missing
322,322,Control PNC Specialties,Sobrante,Sobrante,Sobrante,,,,,Surplus
323,323,Control PNC Specialties,Precio_compra,Precio Compra,Precio Compra,,,,,Purchase Price
324,324,Control PNC Specialties,Plazo,Plazo,Plazo,,,,,Term
325,325,Control PNC Specialties,Broker,Broker,Broker,,,,,Broker
326,326,Control PNC Specialties,Region,Region,Region,,,,,Region
327,327,Control PNC Specialties,Vende,Vende,Vende,,,,,Sell
328,328,Control PNC Specialties,Volumen_compra,Volumen Compra,Volumen Compra,,,,,Purchase Volume
329,329,Control PNC Specialties,Id_precio,Id Precio,Id Precio,,,,,Id Price
330,330,Control PNC Specialties,Fecha_emision_OC,Fecha Emision OC,Fecha Emision OC,,,,,OC Issue Date
331,331,Control PNC Specialties,OC_firma,OC recepción FO,OC recepciÃ³n FO,,,,,OC reception FO
332,332,Control PNC Specialties,OC_enviada,OC envi­o FO,OC envÃ­o FO,,,,,OC Shipping FO
333,333,Control PNC Specialties,OC_recibida,OC firma Proveedor,OC firma Proveedor,,,,,OC signature Supplier
334,334,Control PNC Specialties,Dias_OC,Dias OC,Dias OC,,,,,OC days
335,335,Control PNC Specialties,Empresa_logistica,Empresa Logistica,Empresa Logistica,,,,,Logistics Company
336,336,Control PNC Specialties,Marca_nombre_comercial,Marca Nombre Comercial,Marca Nombre Comercial,,,,,Brand Commercial Name
337,337,Control PNC Specialties,Tiempo_entrega,Tiempo Entrega,Tiempo Entrega,,,,,Delivery time
338,338,Control PNC Specialties,Tiempo_transito,Tiempo Transito,Tiempo Transito,,,,,Transit Time
339,339,Control PNC Specialties,Termino_compra,Termino Compra,Termino Compra,,,,,Purchase Term
340,340,Control PNC Specialties,Precio_referencia,Precio Compra,Precio Compra,,,,,Purchase Price
341,341,Control PNC Specialties,Valor_total_referencia,Valor Total Compra,Valor Total Compra,,,,,Total Purchase Value
342,342,Control PNC Specialties,Facturado,Facturado,Facturado,,,,,Invoiced
343,343,Control PNC Specialties,Observaciones,Observaciones,Observaciones,,,,,Observations
344,344,Control PNC Specialties,Dias_disponibilidad_planta,Dias Disponibilidad Planta,Dias Disponibilidad Planta,,,,,Days Availability Plant
345,345,Control PNC Specialties,Dias_despacho_planta,Dias Despacho Planta,Dias Despacho Planta,,,,,Days Plant Dispatch
346,346,Control PNC Specialties,Facturador_final,Facturador Final,Facturador Final,,,,,Final Billing
347,347,Control PNC Specialties,Fecha_pago,Fecha Pago,Fecha Pago,,,,,Pay day
348,348,Control PNC Specialties,Categoria,Categoria,Categoria,,,,,Category
349,349,Control PNC Specialties,No_factura_sourcing,No Factura Sourcing,No Factura Sourcing,,,,,No invoice Sourcing
350,350,Control PNC Specialties,Docto_digital_recibido,Docto Digital Recibido,Docto Digital Recibido,,,,,Digital Docto Received
351,351,Control PNC Specialties,Docto_original_recibido,Docto Original Recibido,Docto Original Recibido,,,,,Original Docto Received
352,352,Control PNC Specialties,Cantidad_facturada,Cantidad Facturada,Cantidad Facturada,,,,,Invoiced amount
353,353,Control PNC Specialties,Proveedor,Proveedor,Proveedor,,,,,Provider
354,354,Control PNC Specialties,No_factura,No Factura,No Factura,,,,,No invoice
355,355,Control PNC Specialties,Incoterm,Incoterm,Incoterm,,,,,Incoterm
356,356,Control PNC Specialties,Fecha_recepcion_lista_empaque,Fecha Recepcion Lista Empaque,Fecha Recepcion Lista Empaque,,,,,Date Receipt Packing List
357,357,Control PNC Specialties,Fecha_respuesta_planificacion,Fecha Respuesta Planificacion,Fecha Respuesta Planificacion,,,,,Date Response Planning
358,358,Control PNC Specialties,Incoterm_compra,Incoterm Compra,Incoterm Compra,,,,,Incoterm Buy
359,359,Control PNC Specialties,Gestores,Gestores,Gestores,,,,,Managers
360,360,Control PNC Specialties,Notifica_embarque,Notifica Embarque,Notifica Embarque,,,,,Notify Boarding
361,361,Control PNC Specialties,Confirma_compra,Confirma Compra,Confirma Compra,,,,,Confirm Purchase
362,362,Control PNC Specialties,Id_estado,Estado,Estado,,,,,State
363,363,Control PNC Specialties,id_presentacion_final,Presentacion Final,Presentacion Final,,,,,Final presentation
364,364,Control PNC Specialties,Solicitud_facturacion_FO,Solicitud Facturacion FO,Solicitud Facturacion FO,,,,,FO Billing Request
365,365,Control PNC Specialties,Facturacion_FO,Facturacion FO,Facturacion FO,,,,,FO billing
366,366,Control PNC Specialties,Proforma_proveedor,Proforma Proveedor,Proforma Proveedor,,,,,Proforma Supplier
367,367,Control PNC Specialties,flete_compra,Flete Compra,Flete Compra,,,,,Freight Purchase
368,368,Toma pedido PNC Graneles,,Take Order,Toma Pedido,,,,,Take order
369,369,Toma pedido PNC Graneles,Id_detalle_pedido,Order Detail ID,Id Detalle Pedido,,,,,Order Detail ID
370,370,Toma pedido PNC Graneles,PEDIDO,Order,PEDIDO,,,,,Order
371,371,Toma pedido PNC Graneles,Producto,Product,Producto,,,,,Product
372,372,Toma pedido PNC Graneles,Cantidad,Volume,Tonelaje,,,,,Volume
373,373,Toma pedido PNC Graneles,Presentacion,Presentation,Presentacion,,,,,Presentation
374,374,Toma pedido PNC Graneles,Observaciones,Observations,Observaciones,,,,,Observations
375,375,Toma pedido PNC Graneles,Registro,Registro,Registro,,,,,Registry
376,376,Toma pedido PNC Graneles,Unidad,Unit of Measurement,Unidad,,,,,Unit of Measurement
377,377,Toma pedido PNC Graneles,Puerto_descarga,Discharge Port,Puerto de descarga,,,,,Discharge Port
378,378,Toma pedido PNC Graneles,Pais_descarga,Discharge Country,Pais de descarga,,,,,Discharge Country
379,379,Toma pedido PNC Graneles,Producto_abreviado,Abbreviated product,Producto abreviado,,,,,Abbreviated product
380,380,Toma pedido PNC Graneles,Material_SAP,Material SAP,Material SAP,,,,,SAP material
381,381,Toma pedido PNC Graneles,No_oc_cliente,No. orden compra sourcing,No. orden compra sourcing,,,,,No. order purchase sourcing
382,382,Toma pedido PNC Graneles,Id_tipo_prod,Product Type,Tipo Producto,,,,,Product Type
383,383,Toma pedido PNC Graneles,Unidades,Unidades,Unidades,,,,,Units
384,384,Toma pedido PNC Graneles,Categoria,Categoria,Categoria,,,,,Category
385,385,Toma pedido PNC Graneles,Laycan,Laycan,Ventana de carga,,,,,Laycan
386,386,Toma pedido PNC Graneles,Validacion_quilubrisa,Validacion Quilubrisa,Validacion Quilubrisa,,,,,Quilubrisa Validation
387,387,Toma pedido PNC Graneles,id_presentacion_final,Packing Type,Presentacion Interna,,,,,Packing type
388,388,Toma pedido PNC Graneles,No_embarque,No Embarque,No Embarque,,,,,No boarding
389,389,Toma pedido PNC Graneles,validacion_compra,Validacion Compra,Validacion Compra,,,,,Purchase Validation
390,390,Toma pedido PNC Specialties,,Toma Pedido,Toma Pedido,,,,,Take Order
391,391,Toma pedido PNC Specialties,Id_detalle_pedido,Id Detalle Pedido,Id Detalle Pedido,,,,,Id Order Detail
392,392,Toma pedido PNC Specialties,PEDIDO,PEDIDO,PEDIDO,,,,,ORDER
393,393,Toma pedido PNC Specialties,Producto,Producto,Producto,,,,,Product
394,394,Toma pedido PNC Specialties,Cantidad,Volumen,Volumen,,,,,Volume
395,395,Toma pedido PNC Specialties,Presentacion,Presentacion,Presentacion,,,,,Presentation
396,396,Toma pedido PNC Specialties,Observaciones,Observaciones,Observaciones,,,,,Observations
397,397,Toma pedido PNC Specialties,Registro,Registro,Registro,,,,,Registry
398,398,Toma pedido PNC Specialties,Unidad,Unidad,Unidad,,,,,Unit
399,399,Toma pedido PNC Specialties,Puerto_descarga,Puerto de descarga,Puerto de descarga,,,,,discharge port
400,400,Toma pedido PNC Specialties,Pais_descarga,Pais de descarga,Pais de descarga,,,,,Download Country
401,401,Toma pedido PNC Specialties,Producto_abreviado,Producto Abreviado,Producto Abreviado,,,,,Abbreviated Product
402,402,Toma pedido PNC Specialties,Material_SAP,Material SAP,Material SAP,,,,,SAP material
403,403,Toma pedido PNC Specialties,No_oc_cliente,No. OC Sourcing,No. OC Sourcing,,,,,No. OC Sourcing
404,404,Toma pedido PNC Specialties,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,,Product Type
405,405,Toma pedido PNC Specialties,Unidades,Unidades,Unidades,,,,,Units
406,406,Toma pedido PNC Specialties,Categoria,Categoria,Categoria,,,,,Category
407,407,Toma pedido PNC Specialties,Laycan,Laycan,Laycan,,,,,Laycan
408,408,Toma pedido PNC Specialties,Validacion_quilubrisa,Validacion Quilubrisa,Validacion Quilubrisa,,,,,Quilubrisa Validation
409,409,Toma pedido PNC Specialties,id_presentacion_final,Presentacion Final,Presentacion Final,,,,,Final presentation
410,410,Toma pedido PNC Specialties,No_embarque,No. de Embarque,No. de Embarque,,,,,Shipping No.
411,411,Toma pedido PNC Specialties,id_tipo_transporte,Tipo de Transporte,Tipo de Transporte,,,,,Type of Transportation
412,412,tipo_prod,,Tipo Prod,Tipo Prod,,,,,Type Prod
413,413,tipo_prod,Id_tipo_prod,Id Tipo Prod,Id Tipo Prod,,,,,Id Type Prod
414,414,tipo_prod,Descripcion,Descripcion,Descripcion,,,,,Description
415,415,empresa,,Empresa,Empresa,,,,,Business
416,416,empresa,Id_empresa,Id Empresa,Id Empresa,,,,,Company Id
417,417,empresa,Nombre,Nombre,Nombre,,,,,Name
418,418,empresa,UN,UN,UN,,,,,A
419,419,empresa,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,,Product Type
420,420,empresa,Id_pais,Pais,Pais,,,,,Country
421,421,lst_categoria,,Lst Categoria,Lst Categoria,,,,,Lst Category
422,422,lst_categoria,Id_categoria,Id Categoria,Id Categoria,,,,,Id Category
423,423,lst_categoria,Id_producto,Id Producto,Id Producto,,,,,Product Id
424,424,lst_categoria,Descripcion,Descripcion,Descripcion,,,,,Description
425,425,estado,,Estado,Estado,,,,,State
426,426,estado,Id_estado,Id Estado,Id Estado,,,,,Id Status
427,427,estado,Descripcion,Descripcion,Descripcion,,,,,Description
428,428,estado,Id_nivel,Nivel,Nivel,,,,,level
429,429,estado,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,,Product Type
430,430,lst_graneles_producto_abrevia,,Lst Abbreviated product,Lst Graneles Producto Abrevia,,,,,Lst Abbreviated product
431,431,lst_graneles_producto_abrevia,Id_abreviatura,Id Abreviation,Id Abreviatura,,,,,Id Abbreviation
432,432,lst_graneles_producto_abrevia,Descripcion,Description,Descripcion,,,,,Description
433,433,lst_graneles_producto_abrevia,Id_producto,Product ID,Id Producto,,,,,Product ID
434,434,lst_graneles_producto_abrevia,Id_tipo_prod,Product Type ID,Id Tipo Prod,,,,,Product Type ID
435,435,unidad_prod,,Unidad Prod,Unidad Prod,,,,,Prod unit
436,436,unidad_prod,Id_unidad,Id Unidad,Id Unidad,,,,,Unit Id
437,437,unidad_prod,Descripcion,Descripcion,Descripcion,,,,,Description
438,438,unidad_prod,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,,Product Type
439,439,pais,,Pais,Pais,,,,,Country
440,440,pais,Id_pais,Id Pais,Id Pais,,,,,Id Country
441,441,pais,Nombre,Nombre,Nombre,,,,,Name
442,442,pais,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,,Product Type
443,443,pais,Id_tipo_pais,Tipo Pais,Tipo Pais,,,,,Country Type
444,444,destino,,Destino,Destino,,,,,Destination
445,445,destino,Id_destino,Id Destino,Id Destino,,,,,Destination Id
446,446,destino,Descripcion,Descripcion,Descripcion,,,,,Description
447,447,destino,Id_tipo_destino,Tipo Destino,Tipo Destino,,,,,Type Destination
448,448,destino,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,,Product Type
449,449,destino,Id_pais,Pais,Pais,,,,,Country
450,450,destino,id_region,Region,Region,,,,,Region
451,451,destino,id_oceano,Oceano,Oceano,,,,,Ocean
452,452,incoterm,,Incoterm,Incoterm,,,,,Incoterm
453,453,incoterm,Id_incoterm,Id Incoterm,Id Incoterm,,,,,Id Incoterm
454,454,incoterm,Descripcion,Descripcion,Descripcion,,,,,Description
455,455,incoterm,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,,Product Type
456,456,responsable,,Responsable,Responsable,,,,,Responsable
457,457,responsable,Id_responsable,Id Responsable,Id Responsable,,,,,Responsible Id
458,458,responsable,Usuario,Usuario,Usuario,,,,,User
459,459,responsable,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,,Product Type
460,460,plazo,,Plazo,Plazo,,,,,Term
461,461,plazo,Id_plazo,Id Plazo,Id Plazo,,,,,Id Term
462,462,plazo,Descripcion,Descripcion,Descripcion,,,,,Description
463,463,plazo,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,,Product Type
464,464,business_partner,,Business Partner,Business Partner,,,,,Business Partner
465,465,business_partner,Id_bussines_partner,Id Bussines Partner,Id Bussines Partner,,,,,Id Bussines Partner
466,466,business_partner,Id_tipo_bp,Tipo Business Partner,Tipo Business Partner,,,,,Type Business Partner
467,467,business_partner,Nombre,Nombre,Nombre,,,,,Name
468,468,business_partner,Direccion,Direccion,Direccion,,,,,Direction
469,469,business_partner,Contacto,Contacto,Contacto,,,,,Contact
470,470,business_partner,Email,Email,Email,,,,,E-mail
471,471,business_partner,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,,Product Type
472,472,region,,Region,Region,,,,,Region
473,473,region,Id_region,Id Region,Id Region,,,,,Id Region
474,474,region,Descripcion,Descripcion,Descripcion,,,,,Description
475,475,region,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,,Product Type
476,476,categoria_prod,,Categoria Prod,Categoria Prod,,,,,Prod category
477,477,categoria_prod,Id_categoria,Id Categoria,Id Categoria,,,,,Id Category
478,478,categoria_prod,Descripcion,Descripcion,Descripcion,,,,,Description
479,479,categoria_prod,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,,Product Type
480,480,Busqueda Graneles,,Search Graneles,Busqueda Graneles,,,,,Search Bulks
481,481,Busqueda Graneles,year(c.Fecha_BL),Year(c.BL Date),Year(c.Fecha BL),,,,,Year (c.BL Date)
482,482,Busqueda Graneles,Fecha_BL,BL Date,Fecha BL,,,,,BL Date
483,483,Busqueda Graneles,Mes_carga,Loading month,Mes Carga,,,,,Loading month
484,484,Busqueda Graneles,Estado,Status,Estado,,,,,Status
485,485,Busqueda Graneles,Buque,Vessel,Buque,,,,,Vessel
486,486,Busqueda Graneles,Producto,Producto,Producto,,,,,Product
487,487,Busqueda Graneles,Producto_abreviado,Abbreviated product,Producto Abreviado,,,,,Abbreviated product
488,488,Busqueda Graneles,Tonelaje,Volume,Tonelaje,,,,,Volume
489,489,Busqueda Graneles,Unidad,Unit of Measurement,Unidad,,,,,Unit of Measurement
490,490,Busqueda Graneles,Flete,Freight,Flete,,,,,Freight
491,491,Busqueda Graneles,Precio_Venta_TM,Sales Price /MT,Precio Venta TM,,,,,Sales Price / MT
492,492,Busqueda Graneles,Valor_Total_Venta,Total Sales price,Valor Total Venta,,,,,Total Sales price
493,493,Busqueda Graneles,Puerto_carga,Loading Port,Puerto Carga,,,,,Loading Port
494,494,Busqueda Graneles,Pais_carga,Loading Country,Pais Carga,,,,,Loading Country
495,495,Busqueda Graneles,Puerto_descarga,Puerto Descarga,Puerto Descarga,,,,,Port Download
496,496,Busqueda Graneles,Pais_descarga,Loading Country,Pais Descarga,,,,,Loading Country
497,497,Busqueda Graneles,Consignatario,Consignee,Consignatario,,,,,Consign
498,498,Busqueda Graneles,Responsable,Responsible,Responsable,,,,,Responsible
499,499,Busqueda Graneles,Laycan,Laycan,Laycan,,,,,Laycan
500,500,Busqueda Graneles,Eta_puerto_carga,ETA Loading Port,Eta Puerto Carga,,,,,ETA Loading Port
501,501,Busqueda Graneles,Fecha_zarpe_estimada,Fecha Zarpe Estimada,Fecha Zarpe Estimada,,,,,Estimated Sailing Date
502,502,Busqueda Graneles,Plazo_venta,Plazo Venta,Plazo Venta,,,,,Term Sale
503,503,Busqueda Graneles,Eta_puerto_descarga,ETA Discharge Port,Eta Puerto Descarga,,,,,ETA Discharge Port
504,504,Busqueda Graneles,Etb_puerto_descarga,ETB Discharge Port,Etb Puerto Descarga,,,,,ETB Discharge Port
505,505,Busqueda Graneles,Incoterm_venta,Sales Incoterm,Incoterm Venta,,,,,Sales Incoterm
506,506,Busqueda Graneles,PEDIDO,Order,PEDIDO,,,,,Order
507,507,Busqueda Graneles,Id_detalle_pedido,Order Detail ID,Id Detalle Pedido,,,,,Order Detail ID
508,508,Busqueda Graneles,Id_tipo_prod,Product Type ID,Id Tipo Prod,,,,,Product Type ID
509,509,Busqueda Specialties,,Busqueda Specialties,Busqueda Specialties,,,,,Search Specialties
510,510,Busqueda Specialties,Responsable,Responsable,Responsable,,,,,Responsable
511,511,Busqueda Specialties,No_OC_Cliente,No Oc Cliente,No Oc Cliente,,,,,No Oc Client
512,512,Busqueda Specialties,Material_SAP,Material SAP,Material SAP,,,,,SAP material
513,513,Busqueda Specialties,No_embarque,No Embarque,No Embarque,,,,,No boarding
514,514,Busqueda Specialties,No_OC_Sourcing,No OC Sourcing,No OC Sourcing,,,,,No OC Sourcing
515,515,Busqueda Specialties,Producto,Producto,Producto,,,,,Product
516,516,Busqueda Specialties,Volumen,Volumen,Volumen,,,,,Volume
517,517,Busqueda Specialties,Unidad,Unidad,Unidad,,,,,Unit
518,518,Busqueda Specialties,Cantidad_contenedores,Cantidad Contenedores,Cantidad Contenedores,,,,,Quantity Containers
519,519,Busqueda Specialties,Presentacion,Presentacion,Presentacion,,,,,Presentation
520,520,Busqueda Specialties,Origen,Origen,Origen,,,,,Origin
521,521,Busqueda Specialties,Puerto_carga,Puerto Carga,Puerto Carga,,,,,Cargo Port
522,522,Busqueda Specialties,Pais_carga,Pais Carga,Pais Carga,,,,,Country Load
523,523,Busqueda Specialties,Puerto_destino,Puerto Destino,Puerto Destino,,,,,Destination port
524,524,Busqueda Specialties,Pais_destino,Pais Destino,Pais Destino,,,,,Destination country
525,525,Busqueda Specialties,Consignatario,Consignatario,Consignatario,,,,,Consignee
526,526,Busqueda Specialties,Observaciones_Pedido,Observaciones Pedido,Observaciones Pedido,,,,,Remarks Order
527,527,Busqueda Specialties,Docto_digital_enviado,Docto Digital Enviado,Docto Digital Enviado,,,,,Digital Docto Sent
528,528,Busqueda Specialties,Docto_original_enviado,Docto Original Enviado,Docto Original Enviado,,,,,Original Docto Sent
529,529,Busqueda Specialties,Fecha_ofrecida_despacho_de,Fecha Ofrecida Despacho De,Fecha Ofrecida Despacho De,,,,,Date Offered Dispatch
530,530,Busqueda Specialties,Fecha_ofrecida_despacho_a,Fecha Ofrecida Despacho A,Fecha Ofrecida Despacho A,,,,,Date Offered Dispatch A
531,531,Busqueda Specialties,Fecha_zarpe,Fecha Zarpe,Fecha Zarpe,,,,,Sailing Date
532,532,Busqueda Specialties,Estado_zarpe,Estado Zarpe,Estado Zarpe,,,,,Sailing State
533,533,Busqueda Specialties,Fecha_arribo,Fecha Arribo,Fecha Arribo,,,,,Arrival Date
534,534,Busqueda Specialties,Estado_arribo,Estado Arribo,Estado Arribo,,,,,Arrival Status
535,535,Busqueda Specialties,Observaciones_Seguimiento,Observaciones Seguimiento,Observaciones Seguimiento,,,,,Observations Tracking
536,536,Busqueda Specialties,No_factura_trading,No Factura Trading,No Factura Trading,,,,,No Trading Invoice
537,537,Busqueda Specialties,Incoterm_venta,Incoterm Venta,Incoterm Venta,,,,,Incoterm Sale
538,538,Busqueda Specialties,Valor_unitario_venta,Valor Unitario Venta,Valor Unitario Venta,,,,,Unit Value Sale
539,539,Busqueda Specialties,Valor_total_venta,Valor Total Venta,Valor Total Venta,,,,,Total Sale Value
540,540,Busqueda Specialties,Termino_venta,Termino Venta,Termino Venta,,,,,Sale term
541,541,Busqueda Specialties,PEDIDO,PEDIDO,PEDIDO,,,,,ORDER
542,542,Busqueda Specialties,Id_detalle_pedido,Id Detalle Pedido,Id Detalle Pedido,,,,,Id Order Detail
543,543,Busqueda Specialties,Id_tipo_prod,Id Tipo Prod,Id Tipo Prod,,,,,Id Type Prod
544,544,Operaciones PNC Graneles,,Operations PNC Graneles,Operaciones PNC Graneles,,,,,Operations PNC Bulks
545,545,Operaciones PNC Graneles,Ano,Loading Year,AÃ±o carga,,,,,Loading Year
546,546,Operaciones PNC Graneles,Correlativo,Batch,Correlativo,,,,,Batch
547,547,Operaciones PNC Graneles,Fecha_BL,BL Date,Fecha BL,,,,,BL Date
548,548,Operaciones PNC Graneles,Mes_carga,Loading Month,Mes Carga,,,,,Loading Month
549,549,Operaciones PNC Graneles,Estado,Status,Estado,,,,,Status
550,550,Operaciones PNC Graneles,Buque,Vessel,Buque,,,,,Vessel
551,551,Operaciones PNC Graneles,Producto,Product,Producto,,,,,Product
552,552,Operaciones PNC Graneles,Producto_abreviado,Abbreviated product,Producto Abreviado,,,,,Abbreviated product
553,553,Operaciones PNC Graneles,Tonelaje,Volume,Tonelaje,,,,,Volume
554,554,Operaciones PNC Graneles,Unidad,Unit of Measurement,Unidad,,,,,Unit of Measurement
555,555,Operaciones PNC Graneles,Fecha_inicio_descarga,Initial Discharge Date,Fecha Inicio Descarga,,,,,Initial Discharge Date
556,556,Operaciones PNC Graneles,Fecha_fin_descarga,Final Discharge Date,Fecha Fin Descarga,,,,,Final Discharge Date
